A1,A2,A3,A4,A5,A6,A7,A8,C
NA,21,10.5,94.5,A,67.5,A,103.5,C
18,49,19.0555555555556,NA,B,99.0555555555556,A,121.055555555556,B
20,23,5.75,57.5,B,54.75,A,78.75,B
20,26,6.5,65,B,57.5,A,81.5,B
17,24,5.64705882352941,88.9411764705882,A,54.6470588235294,A,84.6470588235294,C
14,45,25.7142857142857,282.857142857143,C,107.714285714286,B,151.714285714286,D
11,50,27.2727272727273,231.818181818182,A,102.272727272727,A,135.272727272727,C
20,24,9.6,33.6,A,67.6,A,77.6,A
19,32,8.42105263157895,161.684210526316,C,80.4210526315789,B,120.421052631579,D
8,50,50,200,B,137,A,161,B
2,28,84,224,B,151,A,173,B
12,41,23.9166666666667,259.666666666667,C,101.916666666667,B,153.916666666667,D
11,20,12.7272727272727,32.7272727272727,A,65.7272727272727,A,77.7272727272727,A
2,43,86,258,B,151,A,173,B
16,31,9.6875,40.6875,A,73.6875,A,85.6875,A
15,22,5.86666666666667,83.6,A,66.8666666666667,A,102.866666666667,C
13,22,8.46153846153846,30.4615384615385,A,51.4615384615385,A,62.4615384615385,A
6,42,28,140,B,97,A,123,B
4,42,42,168,B,122,A,142,B
12,36,12,144,A,77,A,113,C
9,36,28,128,B,102,A,122,B
19,47,17.3157894736842,257.263157894737,C,99.3157894736842,B,139.315789473684,D
11,50,31.8181818181818,327.272727272727,C,116.818181818182,B,164.818181818182,D
17,50,20.5882352941176,282.352941176471,C,109.588235294118,B,161.588235294118,D
9,31,27.5555555555556,117.111111111111,B,78.5555555555556,A,100.555555555556,B
16,38,14.25,156.75,A,90.25,A,129.25,C
12,28,18.6666666666667,93.3333333333333,B,75.6666666666667,A,99.6666666666667,B
16,46,17.25,189.75,A,94.25,A,127.25,C
20,21,7.35,28.35,A,53.35,A,63.35,A
17,46,21.6470588235294,135.294117647059,B,98.6470588235294,A,122.647058823529,B
5,23,23,184,C,69,B,121,D
10,35,17.5,52.5,A,92.5,A,104.5,A
3,27,63,90,A,124,A,137,A
16,42,21,126,B,93,A,113,B
18,25,11.1111111111111,144.444444444444,C,70.1111111111111,B,118.111111111111,D
10,41,20.5,246,C,98.5,B,146.5,D
18,36,12,96,B,71,A,91,B
7,31,35.4285714285714,265.714285714286,C,90.4285714285714,B,130.428571428571,D
7,45,45,90,A,114,A,124,A
17,31,10.9411764705882,83.8823529411765,B,78.9411764705882,A,102.941176470588,B
9,48,42.6666666666667,362.666666666667,C,122.666666666667,B,170.666666666667,D
17,46,21.6470588235294,202.941176470588,A,100.647058823529,A,130.647058823529,C
4,34,51,85,A,111,A,124,A
7,41,29.2857142857143,210.857142857143,A,97.2857142857143,A,133.285714285714,C
11,41,22.3636363636364,126.727272727273,B,101.363636363636,A,125.363636363636,B
20,33,8.25,165,C,64.25,B,112.25,D
20,41,12.3,53.3,A,87.3,A,98.3,A
6,45,45,90,A,129,A,142,A
11,48,30.5454545454545,235.636363636364,A,105.545454545455,A,135.545454545455,C
14,25,12.5,37.5,A,63.5,A,73.5,A
19,24,6.31578947368421,90.9473684210526,A,65.3157894736842,A,101.315789473684,C
16,47,17.625,64.625,A,102.625,A,115.625,A
4,49,73.5,367.5,A,147.5,A,177.5,C
7,40,40,320,C,101,B,153,D
19,37,9.73684210526316,186.947368421053,C,81.7368421052632,B,133.736842105263,D
16,38,9.5,142.5,A,69.5,A,105.5,C
6,45,60,420,C,134,B,174,D
19,21,6.63157894736842,110.526315789474,C,48.6315789473684,B,100.631578947368,D
9,22,12.2222222222222,102.666666666667,A,71.2222222222222,A,101.222222222222,C
10,42,33.6,151.2,B,106.6,A,126.6,B
17,27,7.94117647058823,139.764705882353,C,73.9411764705882,B,117.941176470588,D
9,45,20,260,C,87,B,131,D
1,40,200,480,B,264,A,290,B
18,44,9.77777777777778,53.7777777777778,A,92.7777777777778,A,104.777777777778,A
12,24,14,152,C,73,B,117,D
9,48,21.3333333333333,277.333333333333,C,90.3333333333333,B,142.333333333333,D
11,25,18.1818181818182,172.727272727273,C,72.1818181818182,B,112.181818181818,D
4,20,35,55,A,85,A,96,A
10,29,20.3,197.2,C,83.3,B,131.3,D
18,44,9.77777777777778,161.333333333333,A,89.7777777777778,A,128.777777777778,C
4,26,39,195,A,103,A,133,C
20,25,5,90,A,54,A,93,C
19,36,15.1578947368421,51.1578947368421,A,85.1578947368421,A,95.1578947368421,A
16,27,8.4375,141.75,C,75.4375,B,119.4375,D
16,42,13.125,220.5,C,81.125,B,121.125,D
5,20,32,104,B,79,A,99,B
1,28,140,336,B,191,A,211,B
19,43,18.1052631578947,61.1052631578947,A,84.1052631578947,A,95.1052631578947,A
15,36,14.4,50.4,A,87.4,A,98.4,A
8,38,33.25,71.25,A,98.25,A,108.25,A
3,29,67.6666666666667,193.333333333333,B,130.666666666667,A,150.666666666667,B
5,37,37,296,C,111,B,151,D
16,32,8,40,A,73,A,85,A
4,47,70.5,352.5,A,153.5,A,183.5,C
14,39,16.7142857142857,111.428571428571,B,89.7142857142857,A,109.714285714286,B
6,35,29.1666666666667,128.333333333333,B,87.1666666666667,A,109.166666666667,B
6,35,29.1666666666667,128.333333333333,B,102.166666666667,A,124.166666666667,B
19,37,11.6842105263158,97.3684210526316,B,83.6842105263158,A,105.684210526316,B
20,35,10.5,45.5,A,71.5,A,82.5,A
11,38,27.6363636363636,262.545454545455,C,95.6363636363636,B,143.636363636364,D
12,34,19.8333333333333,53.8333333333333,A,80.8333333333333,A,92.8333333333333,A
5,30,48,234,A,102,A,138,C
13,41,15.7692307692308,113.538461538462,B,76.7692307692308,A,100.769230769231,B
5,25,40,65,A,100,A,112,A
